diagnostic_schema_version,candidate_id,route_key,comparison_stratum,jones_basis_family_id,v1_scalar_rank_percentile_in_stratum,bfp_roi_rank_percentile_in_stratum,jones_rank_percentile_in_stratum,jones_vs_v1_rank_percentile_delta,jones_pairwise_inversion_flag,polarization_surrogate_risk_label,polarization_surrogate_risk_reason_codes,raw_jones_amplitude_proxy_diagnostic_only,raw_magnitude_final_gate_allowed,calibrated_claim_allowed,p0_release_conclusion_changed,physical_ceiling_role
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D500,404/W600/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.13134851138353765,0.5691768826619965,0.5691768826619965,0.43782837127845886,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.4913916217034042,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D550,404/W600/D550,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.21541155866900175,0.5061295971978984,0.5061295971978984,0.29071803852889666,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.8730990498411049,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D600,404/W600/D600,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3782837127845884,0.4395796847635727,0.4395796847635727,0.06129597197898429,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.389621401909474,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D650,404/W600/D650,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.6059544658493871,0.3800350262697023,0.3800350262697023,-0.22591943957968474,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-2.882497947126098,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D700,404/W600/D700,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.6007005253940456,0.3152364273204904,0.3152364273204904,-0.2854640980735552,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-3.4651363865090126,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D800,404/W600/D800,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5709281961471103,0.1786339754816112,0.1786339754816112,-0.3922942206654991,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-4.648531564014487,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D900,404/W600/D900,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4816112084063048,0.09632224168126091,0.09632224168126091,-0.38528896672504387,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-5.795766258125911,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D1000,404/W600/D1000,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3590192644483362,0.0525394045534151,0.0525394045534151,-0.3064798598949211,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-6.828786148331704,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D1100,404/W600/D1100,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.34150612959719795,0.031523642732048995,0.031523642732048995,-0.30998248686514895,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.613293377226656,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D1200,404/W600/D1200,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.3660245183887916,0.021015761821365997,0.021015761821365997,-0.3450087565674256,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-8.117176209350452,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,probe_404_W600_D1300,404/W600/D1300,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4605954465849387,0.019264448336252182,0.019264448336252182,-0.4413309982486865,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-8.190519137019702,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D1400,404/W600/D1400,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.48861646234676004,0.024518388791593737,0.024518388791593737,-0.4640980735551663,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.839612835195119,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W600_D1500,404/W600/D1500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4413309982486865,0.042031523642731994,0.042031523642731994,-0.3992994746059545,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-7.076043828970569,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D500,404/W700/D500,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.11383537653239928,0.6234676007005253,0.6234676007005253,0.509632224168126,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.1783026982360403,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D550,404/W700/D550,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.20140105078809112,0.5551663747810858,0.5551663747810858,0.35376532399299465,False,high_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MAJOR,-1.5305989125101434,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D600,404/W700/D600,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.35201401050788095,0.500875656742557,0.500875656742557,0.14886164623467601,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-1.8887609035983957,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D650,404/W700/D650,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.4956217162872154,0.44483362521891423,0.44483362521891423,-0.05078809106830118,False,low_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY,-2.3586082421279047,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D700,404/W700/D700,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5288966725043782,0.3887915936952715,0.3887915936952715,-0.14010507880910672,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-2.774812601216365,False,False,False,surrogate_risk_reduction_only
ev_nodi_p1_physical_ceiling_no_solver_diagnostic_v1,v1_route_404_W700_D800,404/W700/D800,all_ranked_routes,bfp_roi_jacobian_audit_proxy_no_vector_solver,0.5096322241681261,0.26970227670753066,0.26970227670753066,-0.23992994746059548,False,medium_surrogate_risk,JONES.NO_SOLVER_RANK_PROXY;JONES.RANK_PERCENTILE_SHIFT_MODERATE,-3.8035769793336365,False,False,False,surrogate_risk_reduction_only
